doc_id,title,url,filename,text_path
25,Error Dictionary changed size during iteration. - SABnzbd Forums,https://forums.sabnzbd.org/viewtopic.php?t=20432,dokumen_25.pdf,extracted_text\dokumen_25.txt
26,"""Unindent does not match any outer indentation level"" | Codecademy",https://www.codecademy.com/forum_questions/53505b0c548c35f90d0000f9,dokumen_26.pdf,extracted_text\dokumen_26.txt
27,Python error: unindent does not match any outer indentation level: Solution,https://careerkarma.com/blog/python-indentationerror/,dokumen_27.pdf,extracted_text\dokumen_27.txt
28,Null Pointer Exception in Java - GeeksforGeeks,https://www.geeksforgeeks.org/java/null-pointer-exception-in-java/,dokumen_28.pdf,extracted_text\dokumen_28.txt
29,NullPointerException Crash Your Java App? Here's How to Fix It,https://rollbar.com/blog/how-to-catch-and-fix-nullpointerexception-in-java/,dokumen_29.pdf,extracted_text\dokumen_29.txt
30,ArrayIndexOutOfBoundsException  |  API reference  |  Android Developers,https://developer.android.com/reference/java/lang/ArrayIndexOutOfBoundsException,dokumen_30.pdf,extracted_text\dokumen_30.txt
31,ArrayIndexOutOfBoundsException Class (Java.Lang) | Microsoft Learn,https://learn.microsoft.com/en-us/dotnet/api/java.lang.arrayindexoutofboundsexception?view=net-android-35.0,dokumen_31.pdf,extracted_text\dokumen_31.txt
32,Array Index Out Of Bounds Exception in Java - GeeksforGeeks,https://www.geeksforgeeks.org/java/array-index-out-of-bounds-exception-in-java/,dokumen_32.pdf,extracted_text\dokumen_32.txt
33,ArithmeticException Class (System) | Microsoft Learn,https://learn.microsoft.com/en-us/dotnet/api/system.arithmeticexception?view=net-10.0,dokumen_33.pdf,extracted_text\dokumen_33.txt
34,How to Handle a java.lang.ArithmeticException in Java? - GeeksforGeeks,https://www.geeksforgeeks.org/java/how-to-handle-a-java-lang-arithmeticexception-in-java/,dokumen_34.pdf,extracted_text\dokumen_34.txt
35,ArithmeticException | Core API – Kotlin Programming Language,https://kotlinlang.org/api/core/kotlin-stdlib/kotlin/-arithmetic-exception/,dokumen_35.pdf,extracted_text\dokumen_35.txt
36,ReferenceError - JavaScript | MDN,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/ReferenceError,dokumen_36.pdf,extracted_text\dokumen_36.txt
37,How to Fix ReferenceError: $ is Not Defined in JavaScript | Rollbar,https://rollbar.com/blog/fix-reference-error-is-not-defined-in-javascript/,dokumen_37.pdf,extracted_text\dokumen_37.txt
38,TypeError - JavaScript | MDN,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/TypeError,dokumen_38.pdf,extracted_text\dokumen_38.txt
39,Python Exception Handling - GeeksforGeeks,https://www.geeksforgeeks.org/python-exception-handling/,dokumen_39.pdf,extracted_text\dokumen_39.txt
40,JavaScript Errors Throw and Try to Catch - GeeksforGeeks,https://www.geeksforgeeks.org/javascript-errors-throw-and-try-to-catch/,dokumen_40.pdf,extracted_text\dokumen_40.txt
